MODEL,VENDOR,MODEL_GSM,YEAR_RELEASED_GSM,MONTH_RELEASED_GSM,TIME_RELEASED_GSM,PRICE_RELEASED_GSM,DIAGONAL_SCREEN_SIZE_GSM,DETAIL_NAME_GSM
sm-g310,samsung,galaxy ace style,2014,5,2014.333333,120,4,also known as samsung galaxy ace style g310hn
x145,lg,l60,2014,8,2014.583333,90,4.3,x145
desire 501 dual sim,htc,desire 501 dual sim,2014,2,2014.083333,190,4.3,desire 501 dual sim
s5000-h,lenovo,s5000,2013,11,2013.833333,130,7,available with 3g/wi-fi or wi-fi only support
xt926,motorola,droid razr hd,2012,10,2012.75,290,4.7,xt926
puls,telekom,impulse 4g,2011,9,2011.666667,80,3.8,puls
f650k,lg,x screen,2016,3,2016.166667,180,4.93,versions: k500n (europe); lg x view k500ds (russia)
sch-i959,samsung,galaxy s 4g t959,2011,2,2011.083333,120,4,"for t-mobile
also known as samsung vibrant plus, samsung vibrant 4g"
sm-g7200,samsung,galaxy grand max,2015,1,2015,260,5.25,"also known as samsung galaxy grand max g720
sm-g7202/d has no lte support"
s7-601u,huawei,mediapad 7 vogue,2013,7,2013.5,180,7,"tablet with support for gsm voice communication, sms, and mms"
k410,lg,k10 (2017),2017,NA,NA,NA,5.3,product image for illustrative purposes
y340-u081,huawei,ascend p1 lte,2012,10,2012.75,150,4.3,NA
a240,micromax,a240 canvas doodle 2,2013,8,2013.583333,230,5.7,a240
p700,lg,optimus l7 p700,2012,5,2012.333333,120,4.3,p700
m353,meizu,mx3,2013,10,2013.75,370,5.1,NA
sm-g110,samsung,galaxy pocket 2,2014,9,2014.666667,100,3.3,"also known as samsung galaxy pocket 2 duos, samsung g110b, g110b/ds, g110h, g110m"
sm-s820,samsung,i8200 galaxy s iii mini ve,2014,3,2014.166667,180,4,"also known as samsung i8200 galaxy s iii mini value edition, i8200 galaxy s3 mini 
available as samsung i8200n galaxy s iii mini with nfc"
rm-820,nokia,lumia 920,2012,11,2012.833333,210,4.5,NA
marathon m5 lite,gionee,marathon m5 lite,2015,1,2015,170,5,marathon m5 lite
d315,lg,f70 d315,2014,5,2014.333333,200,4.5,d315
t326e,htc,desire sv,2012,11,2012.833333,270,4.3,NA
g750-t00,huawei,honor 3x g750,2013,12,2013.916667,250,5.5,also known as huawei ascend g750
x5s l,vivo,x5max+,2015,3,2015.166667,430,5.5,NA
ls980,sprint,g2,2013,9,2013.666667,270,5.2,ls980
y635-cl00,huawei,y635,2015,5,2015.333333,140,5,NA
7b g3,lg,g3 (cdma),2014,7,2014.5,300,5.5,"versions:
lg g3 vs985 for verizon
lg g3 ls990 for sprint"
ls992,sprint,g5,2016,4,2016.25,430,5.3,ls992
d628u,htc,desire 628,2016,6,2016.416667,200,5,also known as htc desire 628 dual sim
s750,lenovo,s750,2014,NA,NA,150,4.5,s750
d23,unknown,xperia m2 dual,2014,4,2014.25,180,4.8,d23
v607l,lg,zero,2015,10,2015.75,280,5,also known as lg class
p512,htc,flyer wi-fi,2011,5,2011.333333,110,7,tablet with no gsm voice communication capabilities
venue 8 7840,dell,venue 8 7000,2015,1,2015,250,8.4,"versions:
dell venue 8 7000 v7840 (wi-fi)
dell venue 8 7000 (wi-fi/lte) - coming soon"
sgh-t599n,samsung,galaxy exhibit t599,2013,5,2013.333333,90,3.8,for t-mobile
e6603,sony,xperia z5 compact,2015,10,2015.75,410,4.6,NA
x5 max,vivo,x5max+,2015,3,2015.166667,430,5.5,NA
cp8298 i00,coolpad,note 3s,2016,12,2016.916667,NA,5.5,"also known as coolpad note 3s y91-i00
"
a800,wellcom,a800,2013,1,2013,120,4.5,a800
sgh-t399,samsung,galaxy light,2013,10,2013.75,180,4,sgh-t399
sph-d710,samsung,galaxy s ii epic 4g touch,2011,9,2011.666667,130,4.52,sph-d710
c6916,sony,xperia z1s,2014,1,2014,260,5,c6916
d816d,htc,desire 816 dual sim,2014,5,2014.333333,250,5.5,NA
gt-p7501,samsung,galaxy note 3 neo duos,2014,2,2014.083333,410,5.5,"also known as: 
- samsung galaxy note 3 neo dual sim n7502"
agora hd mini,htc,hd mini,2010,4,2010.25,120,3.2,NA
x515m,htc,evo 3d cdma,2011,6,2011.416667,220,4.3,"for sprint
also known as htc evo v 4g for virgin mobile."
z812,zte,maven,2015,6,2015.416667,50,4.5,NA
a68,lava,a68,2016,6,2016.416667,NA,4.5,a68
802w,htc,one dual sim,2013,8,2013.583333,400,4.68,NA
u8815,huawei,ascend g300,2012,5,2012.333333,130,4,NA
q380,micromax,canvas spark q380,2015,4,2015.25,70,4.7,q380
eva-al00,huawei,p9 plus,2016,5,2016.333333,600,5.5,versions: vie-l09 (single sim); vie-l29 (dual sim)
gt-s6312,samsung,galaxy young s6310,2013,3,2013.166667,90,3.27,versions: s6310l; samsung galaxy young duos s6312 with dual-sim card slots
875,vodafone,lumia 1020,2013,7,2013.5,400,4.5,875
a3600,lenovo,a369i,2013,NA,NA,70,4,NA
gt-c3312,samsung,galaxy tab 4 8.0 3g,2014,6,2014.416667,300,8,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t331, galaxy tab4 8.0 3g"
k130,lg,k4,2016,2,2016.083333,100,4.5,k130
cam-tl00h,huawei,honor 5c,2016,5,2016.333333,200,5.2,"asia model has fingerprint sensor
also known as huawei honor 7 lite, huawei gt3"
a6020l36,lenovo,vibe k5 plus,2016,4,2016.25,140,5,"also known as lenovo a6020a46, lenovo lemon 3"
amazing a7,samsung,galaxy a7 (2017),2017,1,2017,530,5.7,also known as samsung galaxy a7 (2017) duos with dual-sim card slots
m2-803l,huawei,mediapad m2 8.0,2015,5,2015.333333,250,8,also known as huawei mediapad m2 8.0
y560-u23,huawei,y560,2015,6,2015.416667,110,4.5,also known as huawei y5
sm-t360,samsung,galaxy tab active,2014,12,2014.916667,500,8,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung t360"
d2104,sony,xperia e1 dual,2014,3,2014.166667,120,4,NA
k-book,blackberry,4g lte playbook,2012,8,2012.583333,470,7,"tablet with no support for gsm voice communication, sms, and mms."
ls996,lg,g flex2,2015,2,2015.083333,270,5.5,ls996
a7-30dc,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
rm-1090,microsoft,lumia 535 dual sim,2014,12,2014.916667,80,5,NA
sch-r970,samsung,galaxy s4 cdma,2013,5,2013.333333,440,5,samsung sch-i545 for verizon
gt-s5839,samsung,galaxy ace s5830,2011,2,2011.083333,90,3.5,"also known as samsung galaxy ace la fleur, samsung galaxy ace hugo boss"
shv-e230l,samsung,galaxy tab 4 7.0,2014,5,2014.333333,190,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung t230, galaxy tab4 7.0 wi-fi"
iris x8q,lava,iris x8,2015,2,2015.083333,130,5,NA
sgh-t399n,samsung,galaxy light,2013,10,2013.75,180,4,"for t-mobile
also known as samsung sgh-t399"
sm-g930t1,samsung,galaxy note7,2016,9,2016.666667,850,5.7,"versions: n930 (usa); n930f (europe); n930g (india)
also known as samsung galaxy note7 duos with dual-sim card slots"
gt-p6210,samsung,p6210 galaxy tab 7.0 plus,2011,NA,NA,260,7,"also known as:
samsung galaxy tab 7.0n plus
samsung galaxy tab 7.0 plus n in germany
tablet with no support for gsm voice communication, sms, and mms"
mb525,motorola,defy mini xt320,2012,2,2012.083333,160,3.2,NA
808,nokia,lumia 900 at&t,2012,4,2012.25,160,4.3,808
p6-c00,huawei,ascend p6 s,2014,1,2014,300,4.7,for china unicom
xt320,motorola,defy mini xt320,2012,2,2012.083333,160,3.2,xt320
e405,lg,optimus l3 e405,2012,7,2012.5,80,3.2,e405
rm-845,nokia,lumia 822,2012,11,2012.833333,320,4.3,for verizon wireless
v7a,zte,blade v7 max,2016,8,2016.583333,330,5.5,NA
k371,lg,k8 (2017),2017,NA,NA,NA,5,also known as lg x300 for korea
f240,lg,optimus g pro e985,2013,4,2013.25,400,5.5,f240
pn07120,htc,one x9,2016,1,2016,360,5.5,NA
h820,at&t,g5,2016,4,2016.25,430,5.3,h820
y560-u02,huawei,y560,2015,6,2015.416667,110,4.5,also known as huawei y5
h60-l03,huawei,honor 6x,2016,10,2016.75,210,5.5,"also known as huawei mate 9 lite, huawei gr5 2017"
g730-t00,huawei,ascend g730,2014,4,2014.25,270,5.5,also known as huawei ascend g730 dual sim
h340,lg,leon,2015,4,2015.25,120,4.5,h340
sgh-i577,at&t,exhilarate i577,2012,6,2012.416667,240,4,sgh-i577
k428,lg,k10 (2017),2017,NA,NA,NA,5.3,product image for illustrative purposes
sm-n7500,samsung,galaxy note 3 neo duos,2014,2,2014.083333,410,5.5,"also known as: 
- samsung galaxy note 3 neo dual sim n7502"
y320-u01,huawei,ascend y320,2013,12,2013.916667,100,4,NA
p70,lenovo,p70,2015,2,2015.083333,240,5,p70
yu5010a,yu,yuphoria,2015,5,2015.333333,90,5,also known as yu yuphoria yu5010
x5v,vivo,x5max+,2015,3,2015.166667,430,5.5,NA
ls775,lg,stylo 2,2016,4,2016.25,150,5.7,ls775
gt-b9150,samsung,galaxy note edge,2014,11,2014.833333,650,5.6,"versions: n915fy (europe), n915a (at&t), n915t (t-mobile), n915k/n915l/n915s (korea), n915g (singapore, australia, spain), n915d (japan)"
a7-30gc,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
grand s ii,zte,grand s ii s291,2014,4,2014.25,250,5.5,grand s ii
gl07s,huawei,ascend p2,2013,4,2013.25,210,4.7,NA
lt28i,sony,xperia ion lte,2012,6,2012.416667,210,4.55,lt28i
p505,lg,phoenix p505,2011,4,2011.25,140,3.2,p505
y530-u051,huawei,ascend y530,2014,2,2014.083333,100,4.5,NA
8079,lg,stylus 2 plus,2016,7,2016.5,360,5.7,"versions: k535d (india), k535n (hk, taiwan), lg stylo 2 plus ms550 (metro pcs); lg stylo 2 plus k550 (t-mobile), k530f (south america)
k530f, k535d and k535n models has no fingerprint scanner"
hn3-u01,huawei,honor 3c 4g,2014,6,2014.416667,200,5,also known as huawei honor 3c lte
ls991,sprint,g4,2015,4,2015.25,340,5.5,ls991
x5l,vivo,x5max+,2015,3,2015.166667,430,5.5,NA
a350,micromax,a350 canvas knight,2014,3,2014.166667,240,5,a350
t9200,huawei,ascend p1s,2012,9,2012.666667,260,4.3,NA
a109,micromax,a109 canvas xl2,2014,8,2014.583333,NA,5.5,a109
che-tl00,huawei,y635,2015,5,2015.333333,140,5,NA
m10,htc,desire 10 lifestyle,2016,9,2016.666667,260,5.5,NA
d6643,sony,xperia z3+,2015,6,2015.416667,340,5.2,"also known as sony xperia z3 plus, xperia z4, sony e6553"
p650,micromax,canvas tab p650,2013,9,2013.666667,170,8,p650
lt30a,sony,xperia t lte,2012,11,2012.833333,350,4.55,lt30a
e615f,lg,optimus l5 dual e615,2012,9,2012.666667,110,4,NA
s5.5,gionee,elife s5.5,2014,3,2014.166667,270,5,s5.5
ls740,lg,volt,2014,5,2014.333333,130,4.7,ls740
pioneer p2,gionee,pioneer p2,2013,NA,NA,70,4,pioneer p2
y511-u10,huawei,ascend y511,2013,11,2013.833333,110,4.5,NA
308,nex,s308,2014,5,2014.333333,130,4,308
302sh,sharp,aquos xx,2015,7,2015.5,340,5.7,NA
a1001,oppo,r1001 joy,2014,5,2014.333333,100,4,NA
shw-m250l,samsung,galaxy s6 edge,2015,4,2015.25,450,5.1,"also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
gt-p7320,samsung,galaxy tab 8.9 4g p7320t,2012,NA,NA,220,8.9,"tablet with support for gsm voice communication, sms, and mms
for telstra in australia"
d802t,lg,g2,2013,9,2013.666667,270,5.2,d802t
sm-t357,samsung,galaxy tab 4 8.0 lte,2014,6,2014.416667,350,8,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t335, galaxy tab4 8.0 lte"
s950,tcl,intuition vs950,2012,9,2012.666667,190,5,s950
i9200,blackbird,galaxy mega 6.3 i9200,2013,6,2013.416667,300,6.3,i9200
f1fw,oppo,f1,2016,1,2016,230,5,NA
s8-50l,lenovo,tab s8,2014,9,2014.666667,150,8,available as wi-fi only or wi-fi + 3g/4g
q1000,xolo,win q1000,2015,2,2015.083333,120,5,q1000
t31,panasonic,t31,2013,10,2013.75,70,4,t31
xt531,motorola,fire xt,2011,9,2011.666667,100,3.5,xt531
gt-i8550,samsung,galaxy win i8550,2013,5,2013.333333,170,4.7,available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots
ms500,lg,optimus f6,2013,9,2013.666667,200,4.5,"versions:
lg optimus f6 d505 - for europe, emea
lg optimus f6 d500 - for t-mobile"
k100,lg,k3,2016,9,2016.666667,100,4.5,k100
ath-tl00,huawei,honor 7i,2015,8,2015.583333,310,5.2,also known as huawei shot x
studio x plus,blu,studio x plus,2015,1,2015,NA,5.5,studio x plus
sgh-i257,samsung,i9190 galaxy s4 mini,2013,7,2013.5,230,4.3,also known as samsung i9190 galaxy s iv mini; samsung i9190 galaxy s4 mini duos with dual-sim card slots
v10,hiking,qtab v10,2015,5,2015.333333,120,7.85,v10
a820,lenovo,a820,2013,NA,NA,110,4.5,a820
advance 5.0,blu,studio 5.5 hd,2016,3,2016.166667,NA,5.5,NA
e455,lg,optimus l5 ii dual e455,2013,4,2013.25,120,4,e455
5230,nokia,5230,2009,11,2009.833333,80,3.2,5230
elife e7 mini,gionee,elife e7 mini,2014,4,2014.25,230,4.7,elife e7 mini
p698f,lg,optimus net dual,2011,NA,NA,80,3.2,also known as lg optimus net dual p698
sm-j320w8,samsung,galaxy a3 (2017),2017,1,2017,330,4.7,"versions: a320f/fl (emea); a320y (sea, latam)
also known as samsung galaxy a3 (2017) duos with dual-sim card slots"
c5-00,nokia,c5-06,2012,3,2012.166667,90,3.2,NA
chm-tl00,huawei,honor 2,2012,11,2012.833333,150,4.5,NA
lua-l02,huawei,y3ii,2016,6,2016.416667,80,4.5,also known as huawei y3 2
d959,t-mobile,g flex,2013,11,2013.833333,360,6,d959
x9070,oppo,find 7a,2014,3,2014.166667,370,5.5,"also known as oppo find 7 fullhd, oppo find 7 fhd"
nova f mini,huawei,nova,2016,10,2016.75,400,5,NA
s550,cubot,stylus 2 plus,2016,7,2016.5,360,5.7,s550
st21a,sony,xperia tipo,2012,8,2012.583333,80,3.2,st21a
y320-u30,huawei,ascend y320,2013,12,2013.916667,100,4,NA
v9180,zte,redbull v5 v9180,2014,4,2014.25,NA,5,v9180
nx503a,zte,nubia z5s mini nx405h,2014,8,2014.583333,210,4.7,also known as zte nubia z5s mini lte
vns-dl00,huawei,p9 lite,2016,4,2016.25,280,5.2,"also known as huawei g9 lite, honor 8 smart (india)"
t375,lg,t375 cookie smart,2012,NA,NA,70,3.2,t375
bang,sendtel,galaxy ace nxt,2014,8,2014.583333,90,4,bang
blade x9,zte,blade x9,2015,12,2015.916667,170,5.5,blade x9
lu5400,lg,prada 3.0,2012,1,2012,210,4.3,"also known as prada k2, lg p940"
n5207,oppo,n3,2015,1,2015,550,5.5,NA
e2001,oppo,r2001 yoyo,2014,5,2014.333333,200,4.7,NA
h634,cricket,g stylo,2015,5,2015.333333,180,5.7,h634
a369,lenovo,a369i,2013,NA,NA,70,4,a369
mb860,motorola,atrix 4g,2011,2,2011.083333,190,4,mb860
h340ar,lg,leon,2015,4,2015.25,120,4.5,also known as lg leon 4g lte h340n; lg leon dual sim with dual-sim card slots
sm-g3812,samsung,g3812b galaxy s3 slim,2014,3,2014.166667,200,4.52,NA
lumia 735 lte,nokia,lumia 735,2014,9,2014.666667,220,4.7,lumia 735 lte
e310,acer,liquid mini e310,2011,4,2011.25,120,3.2,e310
vs660,verizon,vortex vs660,2010,12,2010.916667,NA,3.2,vs660
vs995,verizon,v20,2016,10,2016.75,640,5.7,vs995
a510b,htc,wildfire s,2011,5,2011.333333,100,3.2,also known as htc pg76110
a114,micromax,a114r canvas beat,2014,NA,NA,190,5,a114
a902,micromax,a092 unite,2014,NA,NA,70,4,NA
d160,lg,l40 d160,2014,4,2014.25,80,3.5,d160
8190,samsung,i8190 galaxy s iii mini,2012,11,2012.833333,130,4,"also known as samsung i8190 galaxy s3 mini, samsung galaxy s iii more
available as samsung i8190n galaxy s iii mini with nfc"
nx403a,zte,nubia z5s mini nx403a,2013,12,2013.916667,230,4.7,nx403a
d505,lg,optimus f6,2013,9,2013.666667,200,4.5,d505
studio energy,blu,studio energy,2015,1,2015,140,5,studio energy
q1010i,xolo,q1010i,2014,3,2014.166667,160,5,q1010i
sgh-t769,samsung,galaxy s blaze 4g t769,2012,3,2012.166667,140,3.97,for t-mobile
306sh,softbank,aquos crystal,2014,8,2014.583333,180,5,306sh
x515a,htc,evo 3d cdma,2011,6,2011.416667,220,4.3,"for sprint
also known as htc evo v 4g for virgin mobile."
nx508j,zte,nubia z9 max,2015,4,2015.25,460,5.5,NA
vk810,verizon,g pad 8.3 lte,2014,3,2014.166667,220,8.3,vk810
520 s hd,nokia,lumia 520,2013,4,2013.25,70,4,versions: nokia lumia 521 rm-917 (t-mobile)
studio 5.0 c hd,blu,studio 5.0 c hd,2014,8,2014.583333,110,5,studio 5.0 c hd
d390n,lg,f60,2014,10,2014.75,100,4.5,d390n
is12s,sony,xperia acro hd soi12,2012,NA,NA,280,4.3,for japan
iris 550q,lava,iris 550q,2014,4,2014.25,150,5.5,iris 550q
s898t+,lenovo,s890,2013,1,2013,230,5,NA
ms428,lg,k10 (2017),2017,NA,NA,NA,5.3,product image for illustrative purposes
t95,sunvell,galaxy s 4g t959,2011,2,2011.083333,120,4,t95
g700-u20,huawei,ascend g700,2013,NA,NA,190,5,NA
liyang z9,zte,nubia z9 max,2015,4,2015.25,460,5.5,NA
blade a462,zte,blade a460,2015,7,2015.5,NA,5,NA
g510-0200,huawei,ascend g510,2013,4,2013.25,100,4.5,also known as ascend g510 u8951 with dual-sim card slots
c6-00,nokia,c6-01,2010,11,2010.833333,170,3.2,NA
vivo air lte,blu,vivo air lte,2015,9,2015.666667,NA,4.8,vivo air lte
d723,lg,g3 s dual,2014,8,2014.583333,210,5,also known as lg g3 beat dual
sm-g9308,samsung,galaxy note7,2016,9,2016.666667,850,5.7,"versions: n930 (usa); n930f (europe); n930g (india)
also known as samsung galaxy note7 duos with dual-sim card slots"
z717vl,zte,maven,2015,6,2015.416667,50,4.5,NA
rm-1074,microsoft,lumia 640 lte dual sim,2015,4,2015.25,150,5,NA
indigo,lg,k8 (2017),2017,NA,NA,NA,5,also known as lg x300 for korea
q1200,xolo,q1200,2014,5,2014.333333,NA,5,q1200
kiw-tl00,huawei,honor 5x,2015,11,2015.833333,300,5.5,"also known as huawei honor x5, huawei gr5"
vm670,lg,optimus s,2010,12,2010.916667,50,3.2,vm670
sch-r530m,samsung,galaxy grand prime duos tv,2014,10,2014.75,150,5,also known as samsung galaxy grand prime duos tv g530bt
e560,coolpad,porto s,2016,3,2016.166667,130,5,NA
x6 plus d,vivo,x6plus,2015,12,2015.916667,NA,5.7,NA
sgp641,sony,xperia z3 tablet compact,2014,11,2014.833333,380,8,NA
lt30at,sony,xperia t lte,2012,11,2012.833333,350,4.55,lt30at
benefit m5 plus,gionee,marathon m5 plus,2015,12,2015.916667,420,6,NA
g750-t20,huawei,honor 3x g750,2013,12,2013.916667,250,5.5,also known as huawei ascend g750
studio energy 2,blu,studio energy 2,2015,10,2015.75,NA,5,studio energy 2
shw-m340k,samsung,galaxy m style m340s,2012,9,2012.666667,160,4,NA
sph-l900,sprint,galaxy note ii cdma,2012,NA,NA,350,5.5,sph-l900
cynus e1,sony,xperia e1 ii,2015,NA,NA,180,4,unofficial preliminary specifications
5233,nokia,5233,2010,1,2010,100,3.2,5233
h30-l01m,huawei,honor 3c 4g,2014,6,2014.416667,200,5,also known as huawei honor 3c lte
sm-a7009,samsung,galaxy a7 duos,2015,2,2015.083333,370,5.5,"versions: a7000, a7009, a700h, a700yd"
y27l,vivo,y27,2014,12,2014.916667,NA,4.7,NA
dav-703l,huawei,p8max,2015,7,2015.5,500,6.8,NA
ctrl v4s,gionee,ctrl v4s,2014,NA,NA,NA,4.5,ctrl v4s
highway,wiko,highway star 4g,2015,4,2015.25,NA,5,highway
a390t,lenovo,a3900,2015,8,2015.583333,70,5,preliminary specifications
sm-g7109,samsung,galaxy on8,2016,10,2016.75,260,5.5,also known as samsung galaxy on8 sm-j710fn/df
d816w,htc,desire 816 dual sim,2014,5,2014.333333,250,5.5,NA
v880,zte,blade g v880g,2013,4,2013.25,280,4.5,v880
note 3,infinix,redmi note 3,2016,2,2016.083333,220,5.5,note 3
a19,celkon,a19,2012,7,2012.5,130,4,a19
h343,lg,g4c,2015,6,2015.416667,160,5,also known as lg g4c h525n
studio 6.0 hd,blu,studio 6.0 hd,2014,4,2014.25,180,6,studio 6.0 hd
note 2 lte,samsung,galaxy note ii n7100,2012,9,2012.666667,300,5.5,NA
f3213,sony,xperia xa ultra,2016,7,2016.5,380,6,"also known as sony xperia xa ultra dual (f3212, f3216) with dual-sim card slots"
a177,micromax,a77 canvas juice,2013,12,2013.916667,90,5,NA
503sh,sharp,aquos crystal 2,2015,7,2015.5,NA,5.2,NA
s8-306l,huawei,mediapad m1,2014,5,2014.333333,300,8,also known as huawei mediapad m1 8.0
e986,lg,optimus g pro e985,2013,4,2013.25,400,5.5,e986
k550,t-mobile,stylus 2 plus,2016,7,2016.5,360,5.7,k550
y28l,vivo,y28,2014,12,2014.916667,100,4.7,NA
e445,lg,optimus l4 ii dual e445,2013,7,2013.5,110,3.8,e445
shw-m570s,samsung,galaxy j5 prime,2016,10,2016.75,230,5,"also known as samsung galaxy on5 (2016).
versions: g570, g570f/ds (emea); g570y (australia)."
ki plus,lenovo,vibe k5 plus,2016,4,2016.25,140,5,"also known as lenovo a6020a46, lenovo lemon 3"
x11,lava,x11,2016,2,2016.083333,NA,5,x11
x6 plus a,vivo,x6plus,2015,12,2015.916667,NA,5.7,NA
sm-n9106,samsung,galaxy note 4 (usa),2014,NA,NA,550,5.7,"versions: n910m (vodafone), n910v (verizon), n910a (at&t), n910t (t-mobile), n910p (sprint), n910r4 (us cellular)"
sph-l710t,samsung,galaxy on8,2016,10,2016.75,260,5.5,also known as samsung galaxy on8 sm-j710fn/df
h736,lg,g4 beat,2015,8,2015.583333,190,5.2,"also known as lg g4s, lg h735, lg g4 beat dual sim h735ds with dual-sim card slots"
sm-a7108,samsung,galaxy a7 (2017),2017,1,2017,530,5.7,also known as samsung galaxy a7 (2017) duos with dual-sim card slots
p55 novo,panasonic,p55 novo,2016,11,2016.833333,100,5.5,p55 novo
f120k,lg,optimus lte tag,2012,NA,NA,130,4.3,f120k
studio x,blu,studio x mini,2016,3,2016.166667,NA,4.5,studio x
a101,acer,iconia tab a101,2011,5,2011.333333,260,7,a101
t84,telstra,galaxy tab t-mobile t849,2010,11,2010.833333,270,7,t84
sgh-i717d,samsung,galaxy note i717,2012,1,2012,350,5.3,"for at&t
also known as samsung galaxy note 4g, samsung sgh-i717, samsung galaxy note lte"
a120,micromax,a120 canvas 2 colors,2014,5,2014.333333,110,5,a120
sm-g9209,samsung,galaxy s6,2015,4,2015.25,410,5.1,"curved screen version available - samsung galaxy s6 edge
versions: g9200 (hong kong), g9208 (china), g9208/ss (china), g9209 (china), g920a (at&t), g920f (global), g920fd (pakistan, philippines), g920i (latam, singapore, india, australia), g920s (korea), g920t (t-mobile)"
a7-30f,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
881sp,motorola,electrify 2 xt881,2012,7,2012.5,260,4.3,for us cellular
k332,lg,k7,2016,2,2016.083333,110,5,"versions: x210 (europe); x210ds (russia); ms330 (metropcs); lg tribute 5 ls675 (boost mobile)
also known as lg k7 dual sim with dual-sim card slots"
k90,kingpad,k900,2013,4,2013.25,360,5.5,k90
iris fuel 50,lava,iris fuel 50,2014,10,2014.75,100,5,iris fuel 50
y560-l02,huawei,y560,2015,6,2015.416667,110,4.5,also known as huawei y5
x3t,vivo,x3s,2014,NA,NA,NA,5,NA
4,sky,advance 4.0 l3,2017,1,2017,NA,4,4
y360-u03,huawei,y360,2015,6,2015.416667,90,4,also known as huawei y3
sm-g920t1,samsung,galaxy s6 (usa),2015,4,2015.25,500,5.1,"also known as samsung galaxy s6 g920curved screen version available - samsung galaxy s6 edge
versions: g920p (sprint), g920v (verizon), g920r (us cellular), g920w8 (canada)"
x5m,vivo,x5max+,2015,3,2015.166667,430,5.5,x5m
sm-g900r7,samsung,galaxy s5 (usa),2014,4,2014.25,480,5.1,versions: g900v (verizon); g900r4 (us cellular); g900p (sprint)
d5316,sony,xperia t2 ultra dual,2014,3,2014.166667,280,6,"also known as sony xperia t2 ultra dual sim d5322, xm50h"
b351,samsung,galaxy note 3 neo duos,2014,2,2014.083333,410,5.5,"also known as: 
- samsung galaxy note 3 neo dual sim n7502"
c6906,sony,xperia z1,2013,9,2013.666667,330,5,c6906
e481,micromax,canvas 5 e481,2015,11,2015.833333,170,5.2,e481
sgh-t959v,samsung,galaxy s 4g t959,2011,2,2011.083333,120,4,"for t-mobile
also known as samsung vibrant plus, samsung vibrant 4g"
sgh-i997,samsung,i997 infuse 4g,2011,5,2011.333333,130,4.5,for at&t
k30-t,lenovo,k3,2014,12,2014.916667,80,5,k30-t
9380,blackberry,curve 9380,2011,12,2011.916667,120,3.2,9380
rm-1067,microsoft,lumia 640 lte dual sim,2015,4,2015.25,150,5,NA
f120l,lg,optimus lte tag,2012,NA,NA,130,4.3,f120l
f470s,lg,g3 screen,2014,12,2014.916667,360,5.9,also known as lg f490
aq4501,micromax,canvas a1 aq4502,2015,6,2015.416667,90,4.5,NA
jy-f1,oppo,f1,2016,1,2016,230,5,NA
sch-i879,samsung,galaxy note t879,2012,8,2012.583333,350,5.3,"for t-mobile
also known as samsung galaxy note sgh-t879"
a7-30h,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
zenfone 2e,asus,zenfone 2e,2015,7,2015.5,110,5,zenfone 2e
scl-l03,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
sgh-t959,samsung,galaxy s 4g t959,2011,2,2011.083333,120,4,"for t-mobile
also known as samsung vibrant plus, samsung vibrant 4g"
l-05d,lg,optimus l5 dual e615,2012,9,2012.666667,110,4,NA
r7s plus,oppo,r7 lite,2015,10,2015.75,250,5,NA
ideapad u1,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
t8698,htc,7 mozart,2010,10,2010.75,130,3.7,NA
mi 1s,xiaomi,redmi 1s,2014,5,2014.333333,90,4.7,mi 1s
f370l,lg,f70 d315,2014,5,2014.333333,200,4.5,NA
gt-s6790,samsung,galaxy fame lite s6790,2013,10,2013.75,70,3.5,gt-s6790
a61,micromax,a61 bolt,2013,12,2013.916667,60,4,a61
g610-u15,huawei,g610s,2013,8,2013.583333,150,5,NA
vs930,verizon,spectrum ii 4g vs930,2012,10,2012.75,170,4.7,vs930
a28,,a28 bolt,2014,NA,NA,40,3.5,a28
5800d,nokia,5800 xpressmusic,2008,11,2008.833333,130,3.2,NA
xt1049,motorola,moto x play dual sim,2015,8,2015.583333,320,5.5,NA
amaze 4g,t-mobile,amaze 4g,2011,10,2011.75,180,4.3,amaze 4g
c6506,sony,xperia zl,2013,3,2013.166667,260,5,c6506
noir a12,qmobile,noir a120,2014,5,2014.333333,80,4,noir a12
