MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
Iris 353,176993,iris 353,lava,80.0,2013.0,,2013.5,3.5,2.0,480.0,320.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,3,0,0,8,8,6,5,5,8,3,1,4,1
R1001,171912,joy,oppo,100.0,2014.0,5.0,2014.416666666667,4.0,3.15,800.0,480.0,2.7499999999997726,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
SM-A800I,171824,galaxy a8 duos,samsung,270.0,2015.0,10.0,2015.833333333333,5.7,16.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-P355,169784,sm-p355,samsung,210.0,2015.0,5.0,2015.416666666667,8.0,5.0,768.0,1024.0,1.7499999999997726,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
EVA-L19,164153,p9,huawei,440.0,2016.0,4.0,2016.333333333333,5.2,12.0,1920.0,1080.0,0.8333333333337123,6,3,2,6,4,4,0,4,5,4,7,8,6,6,6,6,2,1,7,7,0,3,3,3
SM-J500H,164001,galaxy j5,samsung,160.0,2015.0,6.0,2015.5,5.0,13.0,1280.0,720.0,1.6666666666667425,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-T285,163764,galaxy tab a 7.0,samsung,130.0,2016.0,3.0,2016.25,7.0,5.0,800.0,1280.0,0.9166666666667425,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
Z00ED,162829,zenfone 2 laser,asus,210.0,2015.0,8.0,2015.666666666667,5.5,13.0,1280.0,720.0,1.4999999999997726,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,2,11,0,7,7,7
CUN-L21,160823,y5ii,huawei,110.0,2016.0,6.0,2016.5,5.0,8.0,1280.0,720.0,0.6666666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-G532,157333,galaxy grand prime (2016),samsung,140.0,2016.0,11.0,2016.916666666667,5.0,8.0,960.0,540.0,0.24999999999977263,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
A7000-a,154520,a7000,lenovo,530.0,2015.0,1.0,2015.083333333333,5.5,8.0,1280.0,720.0,2.0833333333337123,0,3,5,5,6,6,6,6,5,4,7,6,1,1,1,0,4,1,9,5,4,4,1,5
Blade D6 Lite 3G,153898,blade d6 lite 3g,zte,80.0,2015.0,8.0,2015.666666666667,5.0,5.0,1280.0,720.0,1.4999999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
R7kf,152597,r7 lite,oppo,250.0,2015.0,10.0,2015.833333333333,5.0,13.0,1280.0,720.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-G928C,150786,galaxy s6 edge plus,samsung,530.0,2015.0,8.0,2015.666666666667,5.7,16.0,2560.0,1440.0,1.4999999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
Blade Q3,150192,blade q3,zte,150.0,2015.0,5.0,2015.416666666667,4.0,5.0,800.0,480.0,1.7499999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
GT-P3100,147677,galaxy tab 2 7.0,samsung,150.0,2012.0,4.0,2012.333333333333,7.0,3.15,1024.0,600.0,4.833333333333712,4,7,3,3,0,3,1,11,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
X9076,140901,find 7,oppo,370.0,2014.0,3.0,2014.25,5.5,13.0,2560.0,1440.0,2.9166666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
SM-T231,138310,galaxy tab4 7.0 3g,samsung,240.0,2014.0,5.0,2014.416666666667,7.0,3.15,1280.0,800.0,2.7499999999997726,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,3,0,4,1,0,0,4
GT-I9200,132605,galaxy mega 6.3,samsung,300.0,2013.0,6.0,2013.5,6.3,8.0,1280.0,720.0,3.6666666666667425,0,5,8,9,0,1,9,9,4,0,8,6,5,5,0,2,5,2,4,2,6,6,6,6
ZC500TG,131211,zenfone go,asus,130.0,2015.0,8.0,2015.666666666667,5.0,8.0,1280.0,720.0,1.4999999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
GT-S7270L,127274,galaxy ace 3,samsung,130.0,2013.0,7.0,2013.583333333333,4.0,5.0,800.0,480.0,3.5833333333337123,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
SM-T211,122592,galaxy tab 3,samsung,140.0,2013.0,7.0,2013.583333333333,7.0,3.15,1024.0,600.0,3.5833333333337123,1,1,0,11,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,4
L110,121277,life view,blu,230.0,2013.0,4.0,2013.333333333333,5.7,12.0,1280.0,720.0,3.8333333333337123,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,5,2,4,1,3,1,4,1
SM-G570F,120396,galaxy j5 prime duos,samsung,230.0,2016.0,10.0,2016.833333333333,5.0,13.0,1280.0,720.0,0.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,0,0,7,7,0,7,7,7
SM-T705,120342,galaxy tab s lte,samsung,200.0,2014.0,8.0,2014.666666666667,8.4,8.0,1600.0,2560.0,2.4999999999997726,5,0,4,7,5,5,5,5,0,6,9,10,2,2,2,4,1,3,0,4,1,0,0,4
GT-S7270,117545,galaxy ace 3,samsung,130.0,2013.0,7.0,2013.583333333333,4.0,5.0,800.0,480.0,3.5833333333337123,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
A601CG (Z002),116655,zenfone 6,asus,200.0,2014.0,5.0,2014.416666666667,6.0,13.0,1280.0,720.0,2.7499999999997726,2,6,4,4,1,0,4,0,1,2,3,4,4,4,4,1,6,0,4,1,2,2,2,0
ZD551KL (Z00UD),115713,zenfone selfie,asus,280.0,2015.0,8.0,2015.666666666667,5.5,13.0,1920.0,1080.0,1.4999999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
T1-701u,113679,mediapad t1 7.0,huawei,100.0,2015.0,3.0,2015.25,7.0,2.0,1024.0,600.0,1.9166666666667425,5,2,6,0,2,2,2,2,0,3,2,0,2,2,2,5,1,3,0,4,1,0,0,4
GT-I8262,112671,galaxy core,samsung,160.0,2013.0,6.0,2013.5,4.3,5.0,800.0,480.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
SM-T715Y,112488,galaxy tab s2,samsung,370.0,2015.0,,2015.5,8.0,8.0,1536.0,2048.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
SM-G313M,112266,galaxy ace 4,samsung,250.0,2014.0,8.0,2014.666666666667,4.0,5.0,800.0,480.0,2.4999999999997726,1,0,5,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
A2010,110567,a2010,lenovo,70.0,2015.0,9.0,2015.75,4.5,5.0,854.0,480.0,1.4166666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
SM-T111M,110535,galaxy tab 3 lite,samsung,190.0,2013.0,2.0,2013.166666666667,7.0,2.0,1024.0,600.0,3.9999999999997726,4,1,0,11,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
VIE-L29,105794,p9 plus,huawei,600.0,2016.0,5.0,2016.416666666667,5.5,12.0,1920.0,1020.0,0.7499999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
Y31,104517,y31,vivo,130.0,2015.0,10.0,2015.833333333333,4.7,8.0,1280.0,720.0,1.3333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
R7sf,103837,r7s,oppo,260.0,2015.0,12.0,2016.0,5.5,13.0,1920.0,1080.0,1.1666666666667425,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
GT-S7562,102090,galaxy s duos,samsung,110.0,2012.0,9.0,2012.75,4.0,5.0,800.0,480.0,4.4166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,8,3,1,9,9
A450CG (T00Q),101726,zenfone 4,asus,100.0,2014.0,7.0,2014.583333333333,4.5,8.0,854.0,480.0,2.5833333333337123,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-G313HU,101028,galaxy s duos 3,samsung,250.0,2014.0,8.0,2014.666666666667,4.0,3.15,800.0,480.0,2.4999999999997726,1,0,5,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
One M8,94888,one m8,htc,350.0,2014.0,11.0,2014.916666666667,5.0,4.0,1920.0,1080.0,2.2499999999997726,0,0,5,5,6,6,6,6,2,1,6,6,0,7,7,7,2,0,7,5,6,6,6,6
GT-I8262B,93780,galaxy s3 duos,samsung,160.0,2013.0,6.0,2013.5,3.89,5.0,800.0,480.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
R827,93515,find 5,oppo,240.0,2013.0,1.0,2013.083333333333,4.7,8.0,960.0,540.0,4.083333333333712,4,5,4,9,0,1,9,9,4,0,8,9,5,5,0,10,5,2,4,8,3,1,4,1
ZE550ML (Z008D),91703,zenfone 2,asus,250.0,2015.0,3.0,2015.25,5.5,13.0,1920.0,1080.0,1.9166666666667425,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,1,0,3,3,3
A6000,91101,a6000,lenovo,140.0,2015.0,10.0,2015.833333333333,5.0,8.0,1280.0,720.0,1.3333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
GT-P3100B,90041,galaxy tab 2,samsung,150.0,2012.0,4.0,2012.333333333333,7.0,3.15,600.0,1024.0,4.833333333333712,4,7,3,3,0,3,1,11,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
SM-G318HZ,87975,galaxy tab 3,samsung,370.0,2013.0,,2013.5,8.0,5.0,800.0,1280.0,3.6666666666667425,0,5,8,9,0,1,3,1,6,3,2,7,2,2,2,4,1,4,8,2,1,0,0,10
SM-T110,87831,galaxy tab 3 lite 7.0 wifi,samsung,150.0,2014.0,2.0,2014.166666666667,7.0,2.0,600.0,1024.0,2.9999999999997726,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
SM-G530FZ,87533,galaxy grand prime,samsung,150.0,2014.0,10.0,2014.833333333333,5.0,8.0,960.0,540.0,2.3333333333337123,5,2,6,7,5,5,5,5,2,1,4,2,1,1,1,0,6,7,2,9,2,2,2,0
SM-G850F,86961,galaxy alpha,samsung,450.0,2014.0,9.0,2014.75,4.7,12.0,1280.0,720.0,2.4166666666667425,6,3,7,2,1,0,4,0,5,4,1,1,3,3,3,3,5,1,3,5,6,6,6,6
VNS-L22,85183,p9 lite,huawei,280.0,2016.0,4.0,2016.333333333333,5.2,13.0,1080.0,1920.0,0.8333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
LUA-L21,82285,y3 ii,huawei,80.0,2016.0,6.0,2016.5,4.5,5.0,854.0,480.0,0.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
ZC451CG (Z007),82043,zenfone c,asus,90.0,2015.0,2.0,2015.166666666667,4.5,5.0,854.0,480.0,1.9999999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
T00I,81637,zenfone 4,asus,100.0,2014.0,7.0,2014.583333333333,4.0,5.0,800.0,480.0,2.5833333333337123,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
R815T,80668,clover,oppo,100.0,2013.0,4.0,2013.333333333333,4.3,5.0,800.0,480.0,3.8333333333337123,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
A680,80408,a680,lenovo,110.0,2013.0,6.0,2013.5,5.0,5.0,854.0,480.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
R8106,79677,r5,oppo,200.0,2015.0,8.0,2015.666666666667,5.2,13.0,1920.0,1080.0,1.4999999999997726,3,4,1,1,4,4,0,4,1,2,3,4,4,4,4,1,0,7,2,11,0,3,3,3
ZC520TL (X008D),79352,zenfone 3 max,asus,230.0,2016.0,8.0,2016.666666666667,5.2,13.0,1280.0,720.0,0.4999999999997726,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
SM-G318MZ,74329,galaxy v plus,samsung,370.0,2015.0,,2015.5,4.0,3.15,800.0,480.0,1.6666666666667425,0,0,5,5,6,6,6,6,2,1,6,6,1,1,1,0,2,0,7,7,0,3,3,3
I5-77,72354,i5-77,mcphone,240.0,2012.0,6.0,2012.5,4.0,5.0,854.0,480.0,4.6666666666667425,4,7,3,3,0,1,3,1,3,7,5,3,0,0,8,8,3,6,1,3,3,1,4,1
Nexus 6,71237,nexus 6,google,420.0,2014.0,11.0,2014.916666666667,5.96,13.0,2560.0,1440.0,2.2499999999997726,6,3,7,2,1,0,4,0,5,4,1,1,3,3,3,3,2,1,7,5,6,6,6,6
Iris 456,70886,iris 456,lava,80.0,2013.0,2.0,2013.166666666667,4.5,5.0,854.0,480.0,3.9999999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
SM-G750F,69445,galaxy mega 2,samsung,340.0,2014.0,9.0,2014.75,6.0,13.0,1280.0,720.0,2.4166666666667425,2,6,7,2,1,0,4,0,1,2,1,1,3,3,3,3,2,0,7,5,6,6,6,6
RM-914,68371,lumia 520,nokia,70.0,2013.0,4.0,2013.333333333333,4.0,5.0,800.0,480.0,3.8333333333337123,1,1,0,11,0,3,1,7,3,5,0,3,0,0,5,11,6,5,5,8,3,1,4,1
Desire 816,67210,desire 816,htc,250.0,2014.0,5.0,2014.416666666667,5.5,13.0,1280.0,720.0,2.7499999999997726,2,6,7,4,1,0,4,0,1,2,3,1,4,4,4,1,2,0,4,1,6,6,6,6
GT-N7000,66690,galaxy note,samsung,270.0,2011.0,10.0,2011.833333333333,5.3,8.0,1280.0,800.0,5.333333333333712,4,7,3,3,0,1,3,1,4,0,8,9,5,5,0,10,3,6,1,6,3,1,9,9
Smart 3.5,66363,smart 3.5,true,80.0,2014.0,,2014.5,3.5,2.0,480.0,320.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
Iris 505,65044,iris 505,lava,100.0,2013.0,8.0,2013.666666666667,5.0,5.0,854.0,480.0,3.4999999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
A2020a40,64911,vibe c,lenovo,70.0,2016.0,9.0,2016.75,5.0,5.0,854.0,480.0,0.41666666666674246,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
A859,64650,a859,lenovo,140.0,2014.0,4.0,2014.333333333333,5.0,8.0,1280.0,720.0,2.8333333333337123,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,4,9,2,2,2,0
U707,63995,find way s,oppo,370.0,2013.0,3.0,2013.25,5.5,8.0,1280.0,720.0,3.9166666666667425,0,5,8,9,6,6,6,6,4,0,8,6,5,5,0,2,5,2,3,6,6,6,6,6
P1ma40,63928,vibe p1m,lenovo,110.0,2015.0,10.0,2015.833333333333,5.0,8.0,1280.0,720.0,1.3333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Iris 405+,63377,iris 405+,lava,70.0,2014.0,12.0,2015.0,4.0,5.0,800.0,480.0,2.1666666666667425,5,2,6,0,2,2,2,2,2,5,0,5,1,1,1,0,6,7,5,9,2,2,2,0
Desire Eye,63293,desire eye,htc,380.0,2014.0,11.0,2014.916666666667,5.2,13.0,1920.0,1080.0,2.2499999999997726,2,6,7,2,1,0,4,0,1,2,1,1,3,3,3,3,2,0,7,5,6,6,6,6
i-Style 7.1,63110,i-style 7.1,i-mobile,130.0,2012.0,,2012.5,4.0,5.0,800.0,480.0,4.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
FE170CG (K012),60945,fonepad 7,asus,100.0,2014.0,5.0,2014.416666666667,7.0,2.0,600.0,1024.0,2.7499999999997726,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
R831L,60055,neo 5,oppo,70.0,2014.0,8.0,2014.666666666667,4.5,5.0,854.0,480.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
i-Style 710,59121,i-style 710,i-mobile,130.0,2014.0,,2014.5,4.5,8.0,854.0,480.0,2.6666666666667425,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
H30-U10,59019,honor 3c,huawei,200.0,2013.0,6.0,2013.5,5.0,8.0,1280.0,720.0,3.6666666666667425,1,1,4,7,0,1,9,9,4,0,8,9,5,5,0,10,6,5,4,8,3,1,4,1
SM-P555,58731,galaxy tab a,samsung,370.0,2015.0,,2015.5,9.7,5.0,768.0,1024.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
Blade L3,58244,blade l3,zte,100.0,2014.0,4.0,2014.333333333333,5.0,8.0,854.0,480.0,2.8333333333337123,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
R7 Plus F,57882,r7 plus f,oppo,430.0,2015.0,5.0,2015.416666666667,6.0,13.0,1920.0,1080.0,1.7499999999997726,6,3,7,6,1,0,4,0,5,4,1,8,3,3,3,3,2,1,7,5,6,6,6,6
GT-I9100,55639,galaxy s2,samsung,260.0,2011.0,7.0,2011.583333333333,4.3,8.0,800.0,480.0,5.583333333333712,4,7,3,3,0,1,3,1,3,7,5,9,5,5,0,10,3,6,1,3,3,1,9,9
Blade C310,54213,blade c310,zte,80.0,2014.0,2.0,2014.166666666667,3.5,2.0,480.0,320.0,2.9999999999997726,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
Z520,52738,liquid z520,acer,130.0,2015.0,4.0,2015.333333333333,5.0,8.0,854.0,480.0,1.8333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
N5206,52593,n3 dual sim,oppo,550.0,2014.0,1.0,2014.083333333333,5.5,16.0,1920.0,1080.0,3.0833333333337123,6,3,2,2,3,7,7,3,5,4,1,8,3,3,3,3,4,1,3,5,4,4,1,5
A7010a48,51956,vibe k4 note,lenovo,190.0,2016.0,1.0,2016.083333333333,5.5,13.0,1920.0,1080.0,1.0833333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
R821,51190,find muse,oppo,290.0,2013.0,,2013.5,4.0,3.2,800.0,480.0,3.6666666666667425,0,5,8,9,0,1,3,1,3,7,6,11,0,0,5,11,5,2,3,6,3,1,4,1
3006,50109,3006,oppo,270.0,2014.0,1.0,2014.083333333333,4.7,8.0,1280.0,720.0,3.0833333333337123,0,0,4,7,0,1,9,9,4,0,8,6,5,5,0,2,5,2,4,1,2,2,2,0
GT-I8190N,49839,galaxy s3 mini,samsung,130.0,2012.0,11.0,2012.916666666667,4.0,5.0,800.0,480.0,4.249999999999773,4,7,3,3,0,3,1,7,3,7,5,3,0,0,8,8,3,6,1,8,3,1,9,9
R831,49563,neo,oppo,70.0,2014.0,8.0,2014.666666666667,4.5,5.0,854.0,480.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
SM-N915F,47581,galaxy note edge,samsung,650.0,2014.0,11.0,2014.916666666667,5.6,16.0,2560.0,1600.0,2.2499999999997726,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,5
D6503,47299,xperia z2,sony,330.0,2014.0,7.0,2014.583333333333,5.2,20.7,1920.0,1080.0,2.5833333333337123,2,6,9,10,1,0,8,8,1,2,1,1,3,3,3,3,5,2,4,1,6,6,6,6
D802,46899,g2,lg,270.0,2013.0,9.0,2013.75,5.2,13.0,1920.0,1080.0,3.4166666666667425,2,6,7,4,1,0,4,0,4,0,8,1,5,5,0,2,5,2,4,1,3,1,4,1
One,46517,one,cubot,350.0,2015.0,11.0,2015.916666666667,5.5,21.0,2560.0,1440.0,1.2499999999997726,3,4,9,10,1,0,8,8,1,2,1,4,3,3,3,3,2,0,7,7,0,3,3,3
GT-I9505,45798,galaxy s4 lte,samsung,330.0,2013.0,4.0,2013.333333333333,5.0,13.0,1920.0,1080.0,3.8333333333337123,2,6,7,4,1,0,4,0,4,0,8,1,3,3,3,3,5,2,3,6,6,6,6,6
Blade D6 Lite 4G,45351,blade d6 lite 4g,zte,80.0,2015.0,8.0,2015.666666666667,5.0,8.0,1280.0,720.0,1.4999999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
FE171CG (K01N),45085,fonepad 7,asus,160.0,2014.0,1.0,2014.083333333333,9.4,1.8,800.0,1280.0,3.0833333333337123,1,1,0,11,2,2,2,2,0,6,9,10,2,2,2,4,1,3,6,10,1,0,0,4
Redmi Note 3,44916,redmi note 3,xiaomi,220.0,2015.0,2.0,2015.166666666667,5.5,5.0,1920.0,1080.0,1.9999999999997726,5,2,6,7,2,2,2,2,2,1,4,2,1,1,1,0,2,0,4,1,0,3,3,3
ZB452KG (X014D),44440,zenfone go 4.5 plus,asus,90.0,2016.0,4.0,2016.333333333333,4.5,5.0,854.0,480.0,0.8333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
A7020a48,44213,vibe k5 note,lenovo,190.0,2015.0,1.0,2015.083333333333,5.5,13.0,1920.0,1080.0,2.0833333333337123,3,4,1,1,1,0,4,0,1,2,3,4,4,4,4,1,0,0,4,1,0,7,7,7
Y541-U02,43519,honor bee,huawei,70.0,2015.0,5.0,2015.416666666667,4.5,8.0,854.0,480.0,1.7499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
Blade S6,43237,blade s6,zte,280.0,2015.0,4.0,2015.333333333333,5.0,13.0,1280.0,720.0,1.8333333333337123,3,4,1,6,1,0,4,0,1,2,3,4,4,4,4,1,2,0,7,7,6,6,6,6
A1000,42093,a1000,lenovo,100.0,2015.0,9.0,2015.75,4.0,5.0,800.0,480.0,1.4166666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
A536,41457,a536,lenovo,100.0,2014.0,12.0,2015.0,5.0,5.0,854.0,480.0,2.1666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
Z170CG (P01Y),41406,zenpad c7.0,asus,140.0,2015.0,7.0,2015.583333333333,7.0,5.0,600.0,1024.0,1.5833333333337123,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
SM-T815Y,40537,galaxy tab s2 9.7,samsung,520.0,2015.0,9.0,2015.75,9.7,8.0,1536.0,2048.0,1.4166666666667425,6,3,2,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
RIO-L02,40499,g8 premium edition,huawei,340.0,2015.0,10.0,2015.833333333333,5.5,13.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
i-Style 217,39691,i-style 217,i-mobile,130.0,2015.0,,2015.5,4.0,2.0,800.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
T1-821L,39387,mediapad t1 8.0,huawei,150.0,2016.0,9.0,2016.75,8.0,5.0,1280.0,800.0,0.41666666666674246,5,2,6,0,2,2,2,2,0,6,9,0,2,2,2,5,1,3,0,4,1,0,0,4
Y625-U43,38230,ascend y625,huawei,130.0,2015.0,4.0,2015.333333333333,5.0,8.0,854.0,480.0,1.8333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
R819,38156,r819,oppo,250.0,2013.0,9.0,2013.75,4.7,8.0,1280.0,720.0,3.4166666666667425,1,0,4,7,0,1,9,9,4,0,8,9,5,5,0,2,6,2,4,1,2,2,2,0
E960,36873,nexus 4,google,250.0,2012.0,11.0,2012.916666666667,4.7,8.0,1280.0,768.0,4.249999999999773,4,5,4,9,0,1,9,9,4,0,8,9,5,5,0,10,3,2,1,6,3,1,4,1
RM-941,35842,lumia 625,nokia,160.0,2013.0,8.0,2013.666666666667,4.7,5.0,800.0,480.0,3.4999999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
RM-1013,35588,x2 dual sim,nokia,90.0,2014.0,7.0,2014.583333333333,4.3,5.0,800.0,480.0,2.5833333333337123,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
C6602,35013,xperia z,sony,270.0,2013.0,2.0,2013.166666666667,5.01,13.1,1920.0,1080.0,3.9999999999997726,2,6,7,4,1,0,4,0,4,0,8,9,5,5,0,2,5,2,4,6,3,1,4,1
i-Style 2.4A,34780,i-style 2.4a,i-mobile,130.0,2014.0,,2014.5,4.0,5.0,800.0,480.0,2.6666666666667425,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
E6853,34141,xperia z5 premium,sony,500.0,2015.0,11.0,2015.916666666667,5.5,23.0,3840.0,2160.0,1.2499999999997726,6,3,9,10,1,0,8,8,5,4,1,8,3,3,3,3,4,1,9,0,4,4,1,5
NXT-L29,34046,mate 8,huawei,430.0,2015.0,11.0,2015.916666666667,6.0,16.0,1920.0,1080.0,1.2499999999997726,6,3,9,6,4,4,0,4,5,4,1,8,4,4,4,1,2,1,7,7,4,4,1,5
