MODEL, REACH, MARKETING_NAME, VENDOR, PRICE_RELEASED, YEAR_RELEASED, MONTH_RELEASED, TIME_RELEASED, DIAGONAL_SCREEN_SIZE, CAMERA_PIXELS, DISPLAY_HEIGHT, DISPLAY_WIDTH
M2-801w,103,mediapad m2 8.0,huawei,NULL,2015,NULL,2015.5,8,8,1200,1920
H422,103,spirit,lg,NULL,2015,NULL,2015.5,4.7,8,1280,720
R9 Plustm A,103,r9 plustm a,oppo,NULL,2016,NULL,2016.5,6,16,1920,1080
SO-04F,102,xperia a2,docomo,NULL,2014,NULL,2014.5,4.3,20.7,1280,720
i-note WiFi 2,102,i-note wifi 2,i-mobile,NULL,2013,NULL,2013.5,7.01,2,480,800
NEM-L22,102,honor 5c,huawei,NULL,2016,NULL,2016.5,5.2,13,1920,1080
Y221-U22,102,ascend y221,huawei,NULL,2014,NULL,2014.5,3.5,2,480,320
H320,102,leon,lg,NULL,2015,NULL,2015.5,4.5,5,854,480
7251,102,7251,coolpad,NULL,2014,NULL,2014.5,5,5,854,480
SM-G530MU,101,galaxy grand prime,samsung,150,2014,10,2014.833333333333,5,8,960,540
GT-I9060L,101,galaxy grand neo,samsung,130,2014,2,2014.166666666667,5,5,800,480
IM-A830K,101,vega racer 2 lte,pantech,NULL,2012,NULL,2012.5,4.8,8,1280,720
Z580C (P01M),101,zenpad s 8.0,asus,NULL,2015,8,2015.666666666667,8,5,1536,2048
SM-T815C,101,galaxy tab s2 9.7 lte,samsung,520,2015,9,2015.75,9.699999999999999,8,2048,1536
Z970,101,zmax,zte,NULL,2014,NULL,2014.5,5.7,8,1280,720
S7-301u,101,mediapad,huawei,NULL,2011,NULL,2011.5,7,5,800,1280
3GW100,101,lephone,lenovo,NULL,2010,NULL,2010.5,4.27,NULL,480,320
SHL25,101,aquos mini shl24,kddi,NULL,2014,NULL,2014.5,5.2,13.1,1920,1080
F-06E,101,arrows nx,docomo,NULL,2013,NULL,2013.5,5.2,16,1920,1080
H30-T00,100,honor 3c,huawei,NULL,2014,NULL,2014.5,5,8,1280,720
Getaway,100,getaway,wiko,NULL,2014,NULL,2014.5,5,13,1280,720
IM-A890K,100,vega secret note,pantech,NULL,2013,NULL,2013.5,5.9,13,1920,1080
Desire 828,100,desire 828,htc,250,2015,11,2015.916666666667,5.5,13,1920,1080
TX201LA,100,transformer book trio,asus,NULL,2014,NULL,2014.5,11.6,5,1080,1920
Cynus T6,100,cynus t6,mobistel,NULL,2014,NULL,2014.5,5,8,960,540
SM-C115L,100,galaxy k zoom,samsung,440,2014,6,2014.5,4.8,20,1280,720
T6S,99,t6s,thl,NULL,2014,NULL,2014.5,5,5,854,480
P725,99,optimus 3d max,lg,NULL,2012,NULL,2012.5,4.3,5,800,480
H631,99,g stylo,t-mobile,250,2015,5,2015.416666666667,5.7,13,1280,720
SHL22,99,aquos phone shl22,kddi,NULL,2013,NULL,2013.5,4.9,13,1280,720
7048X,99,one touch go play,alcatel,NULL,2016,NULL,2016.5,5,8,1280,720
R7g,99,r7,oppo,NULL,2015,NULL,2015.5,5,13,1920,1080
F220,98,f220,qmobile,NULL,2009,NULL,2009.5,NULL,NULL,320,240
H810,98,g4,at&t,340,2015,4,2015.333333333333,5.5,16,2560,1440
SM-T715N0,98,sm-t715n0,samsung,160,2015,12,2016,8,8,2048,1536
SM-G930R4,98,galaxy s7,us cellular,NULL,2016,NULL,2016.5,5.1,12.2,2560,1440
i-Style 5,98,i-style 5,i-mobile,130,2013,NULL,2013.5,5,8,854,480
EVA-L29,98,p9,huawei,440,2016,4,2016.333333333333,5.2,12,1920,1080
CAM-AL00,98,honor 5a,huawei,NULL,2016,NULL,2016.5,5.5,13,1280,720
ALE-TL00,98,p8 lite,huawei,NULL,2015,NULL,2015.5,5,13,1280,720
P765,98,optimus l9,lg,170,2012,11,2012.916666666667,4.7,8,960,540
VS820,97,vs820,lg,NULL,2015,NULL,2015.5,4.5,8,854,480
DA220HQL,97,all-in-one,acer,NULL,2013,NULL,2013.5,21.5,1.2,1080,1920
Desire 626 Dual Sim,97,desire 626 dual sim,htc,190,2015,7,2015.583333333333,5,13,1280,720
s7-701u,97,mediapad 7 youth,huawei,NULL,2013,NULL,2013.5,7,3.15,600,1024
D516w,97,desire 516 dual sim,htc,NULL,2014,NULL,2014.5,5,5,960,540
304SH,97,aquos xx,softbank,NULL,2014,NULL,2014.5,5.2,13.1,1920,1080
KDL-42W650A,97,bravia w650a,sony,NULL,2013,NULL,2013.5,42,NULL,1080,1920
R831S,97,neo 5,oppo,70,2014,8,2014.666666666667,4.5,5,854,480
5070D,97,pop star,alcatel,NULL,2015,NULL,2015.5,5,8,1280,720
SM-G870W,97,galaxy s5 active,samsung,530,2014,5,2014.416666666667,5.1,16,1920,1080
X5004,96,x5004,medion,100,2015,11,2015.916666666667,5,13,1920,1080
DMC-CM1,96,lumix smart camera cm1,panasonic,830,2014,12,2015,4.7,20.1,1920,1080
Lifetab P9516,96,lifetab p9516,medion,260,2012,9,2012.75,10,NULL,800,1280
P770,96,p770,lenovo,140,2012,11,2012.916666666667,4.5,NULL,960,540
P7-L09,96,ascend p7,huawei,NULL,2014,NULL,2014.5,5.5,13,1920,1080
MS330,96,k7,lg,110,2016,2,2016.166666666667,5,8,854,480
MS345,96,leon,lg,110,2015,2,2015.166666666667,4.5,8,854,480
SM-G360V,96,galaxy core prime,verizon,150,2015,11,2015.916666666667,4.5,5,800,480
Z321e,96,j,htc,NULL,2012,NULL,2012.5,4.3,NULL,960,540
Pixel V2,96,pixel v2,lava,820,2015,10,2015.833333333333,5,13,1280,720
S8-50F,96,tab s8-50f,lenovo,NULL,2014,NULL,2014.5,8,8,1920,1200
HY-E702,96,media pad,hyundai,NULL,2013,NULL,2013.5,7,3,480,800
6535LVW,96,one m9,htc,NULL,2015,NULL,2015.5,5,20.7,1920,1080
London,95,london,marshall,NULL,2016,NULL,2016.5,5,13,1280,720
Liberto 820,95,liberto 820,doro,NULL,2014,NULL,2014.5,4.5,8,940,560
SHW-M480S,95,galaxy note,samsung,370,2012,NULL,2012.5,10.13,NULL,800,1280
GT-S5670,95,galaxy fit,samsung,120,2011,3,2011.25,3.92,NULL,320,240
HM Note 1TD,95,redmi note,xiaomi,NULL,2014,NULL,2014.5,5.5,13,1280,720
QBA757,95,slim note,qbex,NULL,2012,NULL,2012.5,5.2,NULL,800,480
SM-J710FN,95,galaxy j7 2016,samsung,230,2016,4,2016.333333333333,5.5,13,1280,720
Dinosaur,95,dinosaur,cubot,NULL,2016,NULL,2016.5,5.5,13,1280,720
SCL-L02,94,y6,huawei,NULL,2015,NULL,2015.5,5,8,1280,720
S551,94,hornbill,obi,140,2014,11,2014.916666666667,5.5,13,1280,720
Desire D526H,94,desire d526h,htc,NULL,2015,NULL,2015.5,4.7,8,960,540
H830,94,g5,t-mobile,430,2016,4,2016.333333333333,5.3,16,2560,1440
SGH-T989D,94,galaxy s2 x,samsung,180,2011,10,2011.833333333333,4.51,8,800,480
D684,94,g pro lite,lg,NULL,2013,NULL,2013.5,5.5,8,960,540
X2-CU,94,vibe x2,lenovo,120,2014,6,2014.5,5,2,1920,1080
X600,94,le 1,infinix,90,2015,1,2015.083333333333,6,13,1920,1080
Studio G,94,studio g,blu,NULL,2015,2,2015.166666666667,5,5,854,480
SGH-I467,94,galaxy note 8.0 at+t,samsung,370,2013,NULL,2013.5,8,5,800,1280
Numy 3G AX3 Sword,93,novo numy 3g ax3 sword,ainol,NULL,2014,NULL,2014.5,7,5,600,1024
B8080-F,93,yoga tablet,lenovo,NULL,2014,NULL,2014.5,10,5,800,1280
A816,93,a816,lenovo,NULL,2014,NULL,2014.5,5.5,8,960,540
E10312,93,lifetab e10312,medion,NULL,2013,NULL,2013.5,10.1,2,800,1280
GT-S8500,93,wave,samsung,160,2010,4,2010.333333333333,3.06,5,800,480
D118,93,d118,newsmy,NULL,2009,NULL,2009.5,2.6,NULL,320,240
KYT31,93,qua tab,kddi,NULL,2015,NULL,2015.5,8,5,1920,1200
K330,93,k7 4g,lg,NULL,2016,NULL,2016.5,5,5,854,480
A320e,93,desire c,htc,330,2012,1,2012.083333333333,3.5,5,480,320
SM-G360P,93,galaxy core prime,sprint,150,2015,11,2015.916666666667,4.5,5,800,480
Iris 405,93,iris 405,lava,70,2013,12,2014,4,5,800,480
D820us,93,desire 820us,htc,320,2014,11,2014.916666666667,5.5,13,1280,720
D373,92,l series iii l80,lg,NULL,2014,NULL,2014.5,5,8,800,480
F-02H,92,arrows nx,docomo,NULL,2015,NULL,2015.5,5.4,21,2560,1440
ME865,92,atrix,motorola,NULL,2011,NULL,2011.5,4.3,NULL,960,540
D295,92,l fino,lg,100,2014,11,2014.916666666667,4.5,8,800,480
M330,92,m330,infocus,NULL,2015,11,2015.916666666667,5.5,13,1280,720
SM-G150NS,92,galaxy folder lte,samsung,280,2015,5,2015.416666666667,3.8,8,800,480
H522,92,prime plus,lg,NULL,2015,NULL,2015.5,5,8,1280,720
M2-802L,92,mediapad m2 8.0,huawei,NULL,2015,NULL,2015.5,8,8,1920,1200
IM-A900K,92,vega secret up,pantech,NULL,2014,NULL,2014.5,5.6,13,1920,1080
Y320-U151,92,y320-u151,huawei,NULL,2013,NULL,2013.5,4,2,800,480
7270,91,7270,coolpad,NULL,2014,NULL,2014.5,5,5,854,480
SCH-I705,91,galaxy tab 2 7.0 4g lte,verizon,NULL,2012,NULL,2012.5,7,3.15,1024,600
SM-N7508V,90,galaxy note 3 neo,verizon,410,2014,2,2014.166666666667,5.5,8,1280,720
Elite x3 Telstra,90,elite x3 telstra,hp,610,2016,3,2016.25,5.96,2,2560,1440
E730,90,optimus sol,lg,110,2011,9,2011.75,3.81,NULL,800,480
Xplay5A,90,xplay5,vivo,NULL,2016,NULL,2016.5,5.43,16,2560,1440
E2033,90,xperia e4g dual,sony,NULL,2015,NULL,2015.5,4.7,5,960,540
E610,90,optimus l5,lg,120,2012,6,2012.5,4,5,480,320
SH-01H,89,aquos zeta,docomo,NULL,2015,NULL,2015.5,5.3,NULL,1920,1080
403SH,89,aquos crystal x 2,softbank,NULL,2015,1,2015.083333333333,5.2,8,1280,720
YP-GP1,89,galaxy player 5.8,samsung,370,2012,NULL,2012.5,5.8,3.15,960,540
P505R,89,phoenix,lg,140,2011,4,2011.333333333333,3.2,NULL,480,320
K580,89,x cam,lg,320,2016,6,2016.5,5.2,13,1920,1080
Vision 2,89,vision 2,tolino,80,2015,NULL,2015.5,6,NULL,1024,758
S6000L-F,89,s6000l,lenovo,280,2013,9,2013.75,10.1,0.3,800,1280
Blade L5,89,blade l5,zte,90,2015,4,2015.333333333333,5,8,1280,720
E510f,88,optimus univa,lg,80,2011,10,2011.833333333333,3.5,NULL,480,320
Che2-TL00,88,honor 4x,huawei,NULL,2014,NULL,2014.5,5.5,13,1280,720
Le X527,88,le 2,leeco,NULL,2016,NULL,2016.5,5.5,8,1920,1080
K4000,88,k4000,oukitel,NULL,2015,NULL,2015.5,5,8,1280,720
GT-S7583t,88,galaxy s duos 2,samsung,130,2013,12,2014,4,5,800,480
SH-08E,88,aquos pad,docomo,NULL,2013,NULL,2013.5,7,8.1,1920,1200
MK906,88,mini tv box,unknown,NULL,2013,NULL,2013.5,NULL,NULL,NULL,NULL
OT-P310A,88,one touch pop 7,alcatel,NULL,2014,NULL,2014.5,7,2,600,1024
F-03G,87,arrows tab,docomo,NULL,2014,NULL,2014.5,10.5,8.1,1600,2560
SGH-I897,87,captivate,samsung,170,2010,7,2010.583333333333,4,5,800,480
301F,87,arrows a,softbank,NULL,2013,NULL,2013.5,5,13.1,1920,1080
F160LV,87,optimus lte 2,lg,210,2012,8,2012.666666666667,4.7,8,1280,720
Iron,87,iron,umi,NULL,2015,NULL,2015.5,5.5,13,1920,1080
503HW,87,lumiere,huawei,NULL,2015,NULL,2015.5,5,13,1280,720
D290,87,l fino,lg,110,2014,9,2014.75,4.5,8,800,480
785,87,785,pulsare,NULL,2014,NULL,2014.5,4.5,5,854,480
SM-G928W8,87,galaxy s6 edge plus,samsung,530,2015,8,2015.666666666667,5.7,16,2560,1440
SGH-I777,87,galaxy s2,samsung,170,2011,10,2011.833333333333,4.28,8,800,480
H788n,87,aka,lg,NULL,2015,NULL,2015.5,5,8,1280,720
D6000,87,d6000,innos,NULL,2015,NULL,2015.5,5.2,16,1920,1080
Cink Peax,87,cink peax,wiko,NULL,2013,NULL,2013.5,4.51,8,960,540
CAZ-TL10,87,nova,huawei,NULL,2016,NULL,2016.5,5,12,1920,1080
Note DS6,87,note ds6,linio,160,2016,1,2016.083333333333,6,8,960,480
F180,87,optimus g,lg,160,2014,11,2014.916666666667,4.7,13,1280,768
HV-T727G,87,hv-t727g,havit,NULL,2013,NULL,2013.5,7,2,600,1024
Ascend P7 Mini,86,ascend p7 mini,huawei,180,2014,5,2014.416666666667,4.5,8,960,540
D2-0082,86,ascend d2,huawei,NULL,2013,NULL,2013.5,5,13,1920,1080
V970M,86,grand x,zte,230,2012,7,2012.583333333333,4.3,NULL,960,540
W8470,86,wizard quadra hd,polytron,NULL,2014,NULL,2014.5,4.7,8,1280,720
Elite 1,86,elite 1,leagoo,610,2015,3,2015.25,5,16,1920,1080
A560,86,a560,lenovo,80,2012,7,2012.583333333333,5,2,854,480
D820pi,86,desire 820,htc,270,2015,10,2015.833333333333,5.5,13,1280,720
TE508S1,86,tab pc,lavie,NULL,2014,NULL,2014.5,10.1,5,800,1280
XT1045,85,moto g,motorola,NULL,2014,NULL,2014.5,4.5,5,1280,720
US991,85,g4,lg,340,2015,4,2015.333333333333,5.5,16,2560,1440
TX5 Pro,85,tx5 pro,tanix,NULL,2016,NULL,2016.5,NULL,NULL,NULL,NULL
F670L,85,k10,lg,NULL,2016,NULL,2016.5,5.3,13,1280,720
VS990,85,v10,lg,400,2015,10,2015.833333333333,5.7,16,2560,1440
SM-G9008W,85,galaxy s5 duos,samsung,480,2014,4,2014.333333333333,5.1,16,1920,1080
IM-A900L,85,vega secret up,pantech,NULL,2013,NULL,2013.5,5.6,13,1920,1080
SHV31,85,aquos serie mini,kddi,NULL,2015,NULL,2015.5,4.5,13,1920,1080
Be Touch 2,85,be touch 2,ulefone,NULL,2015,NULL,2015.5,5.5,13,1920,1080
N880,85,blade,zte,NULL,2011,5,2011.416666666667,3.49,NULL,800,480
LGV32,85,lgv32,lg,270,2015,NULL,2015.5,5.5,16,2560,1440
E72,85,e72,nokia,NULL,2009,NULL,2009.5,2.37,5,240,320
Life One X2,85,life one x2,blu,260,2016,9,2016.75,5.2,16,1920,1080
X405,84,x405,xtouch,210,2014,8,2014.666666666667,4,5,800,480
Desire 820q,84,desire 820q,htc,260,2014,10,2014.833333333333,5.5,13,1280,720
RM-835,84,lumia 610,nokia,90,2012,4,2012.333333333333,3.7,5,800,480
H959,84,g flex 2,lg,NULL,2015,NULL,2015.5,5.5,13,1920,1080
F3211,84,xperia xa ultra,sony,NULL,2016,NULL,2016.5,6,21.5,1920,1080
OT-6012E,84,one touch idol mini dual,alcatel,NULL,2013,NULL,2013.5,4.3,5,854,480
CHE-TL00H,84,honor 4x,huawei,140,2015,5,2015.416666666667,5.5,13,1280,720
XT1096,84,moto x 2nd gen,verizon,NULL,2014,NULL,2014.5,5.2,13,1920,1080
Vivo 5,84,vivo 5,blu,340,2016,2,2016.166666666667,5.5,13,1280,720
GT-I8200L,83,galaxy s3 mini,samsung,180,2014,3,2014.25,4,5,800,480
IM-A910K,83,vega iron 2,pantech,NULL,2014,NULL,2014.5,5.3,13,1920,1080
E350,83,liquid gallant e350,acer,160,2012,9,2012.75,4.3,NULL,960,540
Alfa 6,83,alfa 6,leagoo,NULL,2015,NULL,2015.5,4.5,5,854,480
S8-701u,83,mediapad t1 8.0,huawei,NULL,2014,NULL,2014.5,8,5,1280,800
Y51A,82,y51a,vivo,130,2015,12,2016,5,8,960,540
SM-A500W,82,galaxy a5,samsung,290,2014,11,2014.916666666667,5,13,1280,720
Life S5004,82,life s5004,medion,260,2016,9,2016.75,5,13,1280,720
Vivo XL,82,vivo xl,blu,340,2016,2,2016.166666666667,5.5,13,1280,720
SHV-E150S,82,galaxy tab 7.7 lte,samsung,280,2012,5,2012.416666666667,7.7,3.15,800,1280
D5788,82,xperia j1 compact,sony,NULL,2015,NULL,2015.5,4.3,21,1280,720
XT1565,82,droid maxx 2,motorola,NULL,2015,NULL,2015.5,5.5,21,1920,1080
PFD_s805,82,pfd_s805,mbx,NULL,2015,NULL,2015.5,9.18,NULL,720,1280
D950,82,g flex,lg,360,2014,11,2014.916666666667,6,13,1280,720
XT1069,82,moto g 2nd gen,motorola,NULL,2014,NULL,2014.5,5,8,1280,720
X907,82,finder,oppo,NULL,2012,NULL,2012.5,4.3,NULL,800,480
Z981,82,z981,zte,NULL,2016,NULL,2016.5,13.8,8,1920,1280
P310X,82,one touch pop 7,alcatel,NULL,2013,NULL,2013.5,7,2,1024,600
A500L,81,a500l,xolo,430,2013,10,2013.833333333333,4,3.15,800,480
SC-03D,81,galaxy s2 lte,docomo,NULL,2011,NULL,2011.5,4.51,8,800,480
Y550-L02,81,ascend y550,huawei,NULL,2014,NULL,2014.5,4.5,5,854,480
SM-T217A,81,galaxy tab 3 7.0,samsung,370,2013,NULL,2013.5,7,3,600,1024
VS980,81,g2,lg,270,2013,9,2013.75,5.2,13,1920,1080
C6-01,81,c6-01,nokia,170,2010,11,2010.916666666667,4.24,NULL,640,360
KYV35,81,torque g02,kddi,NULL,2015,NULL,2015.5,4.7,13,1280,720
L-01E,81,optimus g,lg,NULL,2012,NULL,2012.5,4.69,13,1280,768
GT-888,81,gt-888,gt mobile,NULL,2015,NULL,2015.5,5.5,8,1280,720
X6A,81,x6,vivo,NULL,2015,NULL,2015.5,5.2,13,1920,1080
SM-A510K,80,galaxy a5 (2016),samsung,300,2015,12,2016,5.2,13,1920,1080
S57,80,liquid jade z,acer,NULL,2015,NULL,2015.5,5,13,1280,720
GT-I9192I,80,galaxy s4 mini duos,samsung,230,2013,7,2013.583333333333,4.3,8,960,540
A3500-H,80,a7-50,lenovo,240,2014,6,2014.5,7,5,800,1280
ST25a,80,xperia u,sony,NULL,2012,NULL,2012.5,3.5,5,854,480
F670K,80,k10,lg,NULL,2016,NULL,2016.5,5.3,13,1280,720
SHL23,80,aquos phone serie,kddi,NULL,2013,NULL,2013.5,4.8,15.9,1920,1080
RM-1027,80,lumia 636,microsoft,NULL,2014,NULL,2014.5,4.5,5,854,480
P55,80,p55,panasonic,100,2015,11,2015.916666666667,5.3,13,1280,720
Netscape Navigator - OS X,80,netscape navigator - os x,netscape,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SM-N920R4,80,galaxy note 5,us cellular,530,2015,8,2015.666666666667,5.7,16,2560,1440
HS-E910,80,hs-e910,hisense,NULL,2011,NULL,2011.5,4,NULL,800,480
E460,79,optimus l5 ii,lg,140,2013,4,2013.333333333333,4,5,800,480
D700,79,optimus l9,sk telecom,NULL,2013,NULL,2013.5,4.7,5,960,540
SC-01E,79,sc-01e,docomo,NULL,2012,NULL,2012.5,7.7,3,1280,800
4400,79,4400,thl,NULL,2014,10,2014.833333333333,5,5,1280,720
H345,79,leon,lg,NULL,2015,NULL,2015.5,4.5,5,854,480
X3L,79,x3l,vivo,NULL,2014,NULL,2014.5,5,8,1280,720
S890,79,s890,lenovo,230,2013,1,2013.083333333333,5.01,8,960,540
PG76110,79,wildfire s,htc,100,2011,5,2011.416666666667,3.2,5,480,320
8050G,79,one touch pixi 4 (6),alcatel,NULL,2016,NULL,2016.5,6,13,1280,720
A102,78,canvas doodle 3,micromax,100,2014,4,2014.333333333333,6,5,854,480
MD700,78,md700,unknown,NULL,2013,NULL,2013.5,7,2,1024,600
e-tab4,78,e-tab4,general mobile,NULL,2014,NULL,2014.5,10.1,2,800,1280
i-note Wi-Fi 9,78,i-note wi-fi 9,i-mobile,NULL,2012,NULL,2012.5,9.06,NULL,480,800
D6563,78,xperia z2a,sony,330,2014,7,2014.583333333333,5,20.7,1920,1080
S388,78,s388,philips,NULL,2014,NULL,2014.5,4.5,5,960,540
K70,78,k70,kingpad,NULL,2015,NULL,2015.5,7,0.3,600,1024
EveryPad,78,everypad,yamada denki,NULL,2013,NULL,2013.5,7,5,600,1024
Y540-U01,78,ascend y540,huawei,NULL,2015,NULL,2015.5,5.6,5,854,480
TF101G,78,eee pad transformer,asus,NULL,2011,NULL,2011.5,10.1,5,1280,800
M350,78,m350,infocus,NULL,2015,NULL,2015.5,5,8,1280,720
Y511-U00,78,ascend,huawei,130,2013,12,2014,4.2,3.1,854,480
SOL21,78,xperia vl,kddi,NULL,2012,NULL,2012.5,4.29,NULL,1280,720
LGV31,77,isai vl,kddi,270,2014,NULL,2014.5,5.5,13,2560,1440
H420,77,spirit,lg,120,2015,3,2015.25,4.7,8,1280,720
D6616,77,xperia z3,sony,NULL,2014,NULL,2014.5,5.2,21,1920,1080
LS990,77,g3,sprint,300,2014,7,2014.583333333333,5.5,16,2560,1440
Numy AX1,77,novo 7,ainol,NULL,2013,NULL,2013.5,7,2,600,1240
F9192,77,f9192,star,NULL,2013,NULL,2013.5,4.3,3,854,480
203SH,77,aquos phone xx,softbank,NULL,2013,NULL,2013.5,4.9,16.03,1280,720
Mingalaba 2,77,mingalaba 2,nex,NULL,2014,NULL,2014.5,4,5,854,480
SM-G550FY,77,galaxy on5,samsung,170,2015,5,2015.416666666667,5,8,1280,720
Che2-TL00M,77,honor 4x,huawei,NULL,2014,NULL,2014.5,5.5,13,1280,720
CX-919,76,mini pc tv box,tronsmart,NULL,2013,NULL,2013.5,NULL,NULL,720,1280
Vi10,76,vi10,chuwi,NULL,2015,NULL,2015.5,10.6,2,768,1366
SM-N910T3,76,galaxy note 4,t-mobile,550,2014,NULL,2014.5,5.7,16,2560,1440
SM-G550T1,76,galaxy on5 lte,samsung,170,2016,5,2016.416666666667,5,8,1280,720
AT10PE-A,76,excite,toshiba,NULL,2013,NULL,2013.5,10.1,8,1600,2560
YQ601,76,u1,smartisan,NULL,2015,NULL,2015.5,5.5,13,1920,1080
Informer 706 3G,75,informer 706 3g,explay,NULL,2012,NULL,2012.5,7,2,480,800
XM50h,75,xperia t2 ultra dual,sony,280,2014,3,2014.25,6,13,1280,720
X920e,75,butterfly,htc,NULL,2012,NULL,2012.5,5,8,1920,1080
Sapphire A55,75,sapphire a55,singtech,NULL,2015,NULL,2015.5,4,2,480,800
TA07C-C41R1,75,slatepad,onkyo,NULL,2013,NULL,2013.5,7,2,600,1024
SH-04H,75,aquos zeta,docomo,NULL,2015,NULL,2015.5,5.3,22.6,1920,1080
Y535D-C00,75,y535d,huawei,NULL,2014,NULL,2014.5,4.5,2,800,480
GT-S5301,75,galaxy pocket plus,samsung,150,2012,10,2012.833333333333,2.8,2,320,240
SC-01D,75,galaxy tab 10.1 lte,docomo,NULL,2011,NULL,2011.5,10.1,3.2,800,1280
H60-L12,75,honor 6,huawei,290,2014,8,2014.666666666667,5,13,1920,1080
MT15i,75,xperia neo,sony ericsson,NULL,2011,NULL,2011.5,3.7,8,854,480
HS-U980,75,mira ii,hisense,NULL,2013,NULL,2013.5,5.5,8,1280,720
890N,74,smart 4 turbo,vodafone,NULL,2014,NULL,2014.5,4.5,5,854,480
M530,74,m530,infocus,NULL,2014,NULL,2014.5,5.5,13,1280,720
4027N,74,one touch pixi 3,alcatel,NULL,2015,1,2015.083333333333,4.5,8,854,480
XT1030,74,droid mini 4g lte,motorola,NULL,2013,NULL,2013.5,4.29,10,1280,720
A1-840,74,iconia tab 8,acer,200,2014,9,2014.75,8,5,1200,1920
K500,74,x screen,lg,180,2016,3,2016.25,4.93,13,1280,720
TIT-U02,74,y6 pro,huawei,NULL,2016,NULL,2016.5,5,13,1280,720
E425F,74,optimus l3 ii,lg,90,2013,4,2013.333333333333,3.2,3,320,240
R5830i,74,r5830i,rokea,NULL,2012,NULL,2012.5,3.5,NULL,480,320
A396,73,a396,lenovo,70,2014,8,2014.666666666667,4,2,800,480
P715,73,optimus l7 ii,lg,150,2013,3,2013.25,4.3,8,800,480
X16,73,power,teclast,NULL,2015,NULL,2015.5,11.6,NULL,1080,1920
SM-P607T,73,galaxy note 10.1 2014,t-mobile,NULL,2014,NULL,2014.5,10.1,8,1600,2560
V480,73,g pad 8.0,lg,220,2014,7,2014.583333333333,8,4.9,1280,800
K017,73,memo pad 7,asus,NULL,2014,NULL,2014.5,7,5,800,1280
FP1U,73,fairphone 1,fairphone,NULL,2014,NULL,2014.5,4.3,8,960,540
GT-T9500,73,gt-t9500,mt,NULL,2013,NULL,2013.5,5,3,854,480
SU640,73,optimus lte,lg,120,2011,8,2011.666666666667,4.5,NULL,1280,720
Y100X,73,nova,doogee,NULL,2015,NULL,2015.5,5,8,1280,720
SM-N9109W,73,galaxy note 4,samsung,550,2014,NULL,2014.5,5.7,16,2560,1440
I9220,73,i9220,haipai,270,2012,10,2012.833333333333,5.21,NULL,800,480
XT1034,72,moto g,motorola,NULL,2013,NULL,2013.5,4.5,5,1280,720
ALE-CL00,72,p8 lite,huawei,NULL,2015,NULL,2015.5,5,13,1280,720
C8815,72,c8815,huawei,NULL,2013,NULL,2013.5,5,5,960,540
Odyssey Plus,72,odyssey plus,zh&k,NULL,2015,NULL,2015.5,4,3,800,480
8297w,72,great god f1,coolpad,NULL,2014,NULL,2014.5,5,13,1280,720
MD1005,72,md1005,lazer,NULL,2013,NULL,2013.5,7,0.3,600,1024
Aquaris E4.5,72,aquaris e4.5,bq,NULL,2015,NULL,2015.5,4.5,8,960,540
s7-931u,72,mediapad 7 lite,huawei,NULL,2012,NULL,2012.5,6.98,3.15,600,1024
SM-A430F,72,galaxy a4,samsung,370,2016,NULL,2016.5,5.5,NULL,NULL,NULL
GT-I8160P,72,galaxy ace 2,samsung,130,2011,5,2011.416666666667,3.8,5,800,480
SOT31,72,xperia z4 tablet,kddi,NULL,2015,NULL,2015.5,10.1,8,1600,2560
FRD-L04,72,honor 8,huawei,NULL,2016,NULL,2016.5,5.2,12,1920,1080
Z710A,71,sensation,htc,NULL,2011,NULL,2011.5,4.3,8,960,540
Thunderbird - OS X,71,thunderbird - os x,mozilla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SM-J320ZN,71,galaxy j3 (2016),samsung,150,2016,1,2016.083333333333,5,8,1280,720
302KC,71,digno t,kyocera,NULL,2014,NULL,2014.5,4.5,8,960,540
E451,71,canvas pulse 4g,micromax,NULL,2015,NULL,2015.5,5,5,1280,720
W900,71,w900,,60,NULL,2,NULL,NULL,NULL,NULL,NULL
2PS5200,71,one x9,htc,NULL,2015,NULL,2015.5,5.5,13,1920,1080
SM-G900R4,71,galaxy s5,us cellular,480,2014,4,2014.333333333333,5.1,16,1920,1080
W716S,71,w716s,haier,NULL,2014,NULL,2014.5,4,2,800,480
F310LR,71,gx,lg,250,2014,1,2014.083333333333,5.5,13,1920,1080
SC-05D,71,galaxy note,docomo,NULL,2012,NULL,2012.5,5.3,8,1280,800
Cink Peax 2,71,cink peax 2,wiko,NULL,2013,NULL,2013.5,4.5,8,960,540
FDR-A01L,71,mediapad t2 10.0 pro,huawei,NULL,2016,NULL,2016.5,10.1,8,1920,1200
VT10416-2,70,vt10416-2,trekstor,NULL,2014,NULL,2014.5,10.1,5,768,1366
MP50020 -A,70,mp50020 -a,oxygen,NULL,2013,NULL,2013.5,7,1.3,480,800
F3212,70,xperia xa ultra dual,sony,380,2016,7,2016.583333333333,6,21.5,1920,1080
T328w,70,desire v,htc,NULL,2012,NULL,2012.5,4,5,800,480
SGH-M919N,70,galaxy s4,samsung,230,2013,7,2013.583333333333,5,13,1920,1080
GT-I9308,70,galaxy s3,samsung,850,2012,9,2012.75,4.8,8,1280,720
